media_type, title, status, release_date, episode_count
"1", "00-man-nen Chikyuu no Tabi: Bander Boo", "FINISHED", "1978-07-01", "1"
"1", "00-nichi Go ni Shinu Wan", "UPCOMING", "2000-01-01", "0"
"1", "00-nichi Go ni Shinu Wani Movi", "UNKNOWN", "2000-01-01", "0"
"1", "000 Nen Joou: Queen Millenni", "FINISHED", "1982-04-01", "1"
"1", "000-nen Joo", "FINISHED", "1982-01-01", "1"
"1", "000-nen Joou: Queen Millenni", "FINISHED", "1982-01-01", "1"
"1", "000say: HAN", "UNKNOWN", "2011-01-01", "1"
"1", "001 Night", "FINISHED", "1999-04-01", "1"
"1", "1-nin Iru", "FINISHED", "1986-10-01", "1"
"1", "12 Sabsections of Skylin", "FINISHED", "2007-10-01", "1"
"1", "1:0", "FINISHED", "2012-01-01", "1"
"1", "1eye", "FINISHED", "2009-10-01", "12"
"1", "1eyes OV", "FINISHED", "2010-07-01", "1"
"1", "1eyes Picture Dram", "FINISHED", "2010-04-01", "13"
"1", "1eyes Specia", "UNKNOWN", "2010-01-01", "1"
"1", "1eyes: Momoiro Genmuta", "FINISHED", "2010-04-01", "1"
"1", "2-gatsu no Ut", "FINISHED", "1971-01-01", "1"
"1", "2-sai", "FINISHED", "2014-04-01", "8"
"1", "2-Sai", "FINISHED", "2014-04-01", "12"
"1", "2-sai. 2nd Seaso", "FINISHED", "2015-07-01", "4"
"1", "2-Sai. Chiccha na Mune no Tokimeki ", "FINISHED", "2016-10-01", "12"
"1", "2-Sai. Chicchana Mune no Tokimek", "FINISHED", "2016-04-01", "12"
"1", "2-Sai. Chicchana Mune no Tokimeki (2016", "FINISHED", "2016-10-01", "12"
"1", "2-sai.: Chiccha na Mune no Tokimek", "FINISHED", "2016-04-01", "12"
"1", "2-sai.: Chicchana Mune no Tokimek", "FINISHED", "2016-04-01", "12"
"1", "2-sai.: Chicchana Mune no Tokimeki 2nd Seaso", "FINISHED", "2016-10-01", "12"
"1", "2-Sai: Chiccha na Mune no Tokimek", "UNKNOWN", "2016-04-01", "12"
"1", "2-Sai: Chiccha na Mune no Tokimeki ", "UNKNOWN", "2016-10-01", "12"
"1", "2", "FINISHED", "2004-10-01", "1"
"1", "5 Bishoujo Hyouryuuk", "FINISHED", "2009-07-01", "3"
"1", "5 Sonyeon Uju Pyoryug", "FINISHED", "1980-01-01", "1"
"1", "5 Ste", "FINISHED", "2008-01-01", "1"
"1", "5 Years Old: Starting Today We'll Be Living Togethe", "UNKNOWN", "2018-01-01", "30"
"1", "5-sai, Kyou kara Dousei Hajimemasu", "FINISHED", "2018-04-01", "30"
"1", "8i", "FINISHED", "2017-07-01", "13"
"1", "980YEN: Takoyaki Stor", "UNKNOWN", "2018-01-01", "1"
"1", "98", "FINISHED", "2009-04-01", "1"
"1", "yea", "FINISHED", "2015-01-01", "1"
"1", "", "FINISHED", "2017-10-01", "1"
"1", ".43 Seiin Koukou Danshi Volley B", "UPCOMING", "2021-01-01", "0"
"1", ".43: Seiin Koukou Danshi Volley-b", "UPCOMING", "2021-01-01", "0"
"1", "0-dai no Heya-he", "UNKNOWN", "2015-01-01", "1"
"1", "0-dai no Heya-he", "FINISHED", "2015-01-01", "1"
"1", "002-nen Halmeoni Ond", "FINISHED", "2002-04-01", "1"
"1", "002-nen Harmoni Ond", "FINISHED", "2002-04-01", "1"
"1", "005-nen Uchuu no Tab", "FINISHED", "2005-10-01", "1"
"1", "01", "FINISHED", "2010-07-01", "1"
"1", "020 Nyeon Ujuui Wonder Kidd", "FINISHED", "1989-01-01", "13"
"1", "0min Walk From Nishi-Ogikubo Statio", "UNKNOWN", "2014-01-01", "1"
"1", "1 Emo", "FINISHED", "1991-04-01", "39"
"1", "1 Emon Uchuu e Irasshai", "FINISHED", "1981-07-01", "1"
"1", "1 Emon Uchuu ike! Hadashi no Princes", "FINISHED", "1992-01-01", "1"
"1", "1 Seiki Manga Hajimete Monogatar", "FINISHED", "2001-01-01", "1"
"1", "1 Seiki wa Minna ga Shuyak", "FINISHED", "2001-01-01", "1"
"1", "1-ji no Onna: Newscaster Katsuragi Mik", "FINISHED", "2001-04-01", "3"
"1", "112: The Birth of Doraemo", "UNKNOWN", "1995-01-01", "1"
"1", "2/", "FINISHED", "2020-01-01", "12"
"1", "2/7: 8+3=", "UNKNOWN", "2020-01-01", "1"
"1", "2/7: 8＋3=", "FINISHED", "2020-07-01", "1"
"1", "2/7: 8＋3＝", "FINISHED", "2020-07-01", "1"
"1", "2/7: Ano Hi no Kanojo-tach", "UNKNOWN", "2018-01-01", "8"
